Cancer label,Country label,Sex,Year,ASR (World),Total
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2000,27.40179969,1221
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2001,27.24894752,1246
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2002,26.20859318,1222
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2003,25.94176914,1219
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2004,23.67224928,1176
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2005,24.35142112,1212
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2006,22.51253387,1153
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2007,23.64164801,1224
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2008,22.9217202,1217
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2009,21.07041517,1139
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2010,21.52116672,1190
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2011,20.24746,1144
"Lip,  oral cavity and pharynx ",France (metropolitan),male,2012,21.76038521,1257
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2000,4.40481179,235
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2001,4.064004733,235
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2002,4.612506007,257
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2003,4.258828735,231
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2004,4.531857938,262
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2005,4.882530142,284
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2006,3.962367417,241
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2007,4.772702187,292
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2008,5.064033395,319
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2009,5.48763907,337
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2010,4.905673746,323
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2011,5.477443356,348
"Lip,  oral cavity and pharynx ",France (metropolitan),female,2012,5.726990979,383
"Lip,  oral cavity and pharynx ",Germany,male,2003,15.09940871,730
"Lip,  oral cavity and pharynx ",Germany,male,2004,15.64328704,781
"Lip,  oral cavity and pharynx ",Germany,male,2005,14.77342533,754
"Lip,  oral cavity and pharynx ",Germany,male,2006,15.21509954,783
"Lip,  oral cavity and pharynx ",Germany,male,2007,15.08531232,796
"Lip,  oral cavity and pharynx ",Germany,male,2008,15.01965306,795
"Lip,  oral cavity and pharynx ",Germany,male,2009,15.06854923,823
"Lip,  oral cavity and pharynx ",Germany,male,2010,14.34098542,782
"Lip,  oral cavity and pharynx ",Germany,male,2011,14.59115095,818
"Lip,  oral cavity and pharynx ",Germany,male,2012,14.76337335,813
"Lip,  oral cavity and pharynx ",Germany,female,2003,5.691038549,334
"Lip,  oral cavity and pharynx ",Germany,female,2004,5.616445885,336
"Lip,  oral cavity and pharynx ",Germany,female,2005,4.774318306,296
"Lip,  oral cavity and pharynx ",Germany,female,2006,4.493773204,282
"Lip,  oral cavity and pharynx ",Germany,female,2007,5.31686251,321
"Lip,  oral cavity and pharynx ",Germany,female,2008,6.082208549,368
"Lip,  oral cavity and pharynx ",Germany,female,2009,5.871845909,353
"Lip,  oral cavity and pharynx ",Germany,female,2010,5.747209962,361
"Lip,  oral cavity and pharynx ",Germany,female,2011,6.180728374,385
"Lip,  oral cavity and pharynx ",Germany,female,2012,5.619468391,362
"Lip,  oral cavity and pharynx ",Japan,male,2000,7.586501102,692
"Lip,  oral cavity and pharynx ",Japan,male,2001,7.293285091,682
"Lip,  oral cavity and pharynx ",Japan,male,2002,7.34483333,707
"Lip,  oral cavity and pharynx ",Japan,male,2003,7.182840339,724
"Lip,  oral cavity and pharynx ",Japan,male,2004,6.715765192,702
"Lip,  oral cavity and pharynx ",Japan,male,2005,7.341742187,773
"Lip,  oral cavity and pharynx ",Japan,male,2006,8.405724464,901
"Lip,  oral cavity and pharynx ",Japan,male,2007,8.748026502,960
"Lip,  oral cavity and pharynx ",Japan,male,2008,9.191233192,994
"Lip,  oral cavity and pharynx ",Japan,male,2009,8.800480607,991
"Lip,  oral cavity and pharynx ",Japan,male,2010,9.308664604,1055
"Lip,  oral cavity and pharynx ",Japan,male,2011,9.400090486,1091
"Lip,  oral cavity and pharynx ",Japan,male,2012,9.643334396,1118
"Lip,  oral cavity and pharynx ",Japan,female,2000,2.429325519,269
"Lip,  oral cavity and pharynx ",Japan,female,2001,2.142484529,251
"Lip,  oral cavity and pharynx ",Japan,female,2002,2.276065273,262
"Lip,  oral cavity and pharynx ",Japan,female,2003,2.389082419,297
"Lip,  oral cavity and pharynx ",Japan,female,2004,2.049262314,254
"Lip,  oral cavity and pharynx ",Japan,female,2005,2.685348495,323
"Lip,  oral cavity and pharynx ",Japan,female,2006,2.835272502,354
"Lip,  oral cavity and pharynx ",Japan,female,2007,2.966957752,394
"Lip,  oral cavity and pharynx ",Japan,female,2008,3.034282847,417
"Lip,  oral cavity and pharynx ",Japan,female,2009,2.983822307,389
"Lip,  oral cavity and pharynx ",Japan,female,2010,3.147414453,435
"Lip,  oral cavity and pharynx ",Japan,female,2011,3.606322554,487
"Lip,  oral cavity and pharynx ",Japan,female,2012,3.054218683,444
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2000,7.100999333,1481
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2001,6.077834917,1377
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2002,6.352711196,1477
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2003,6.508006929,1572
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2004,6.141818304,1564
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2005,6.040304841,1600
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2006,6.138155107,1687
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2007,6.257104842,1787
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2008,6.503920472,1944
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2009,6.126184968,1910
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2010,6.102630539,1966
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2011,6.368775706,2130
"Lip,  oral cavity and pharynx ","Korea, Republic of",male,2012,6.215517955,2165
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2000,2.40863864,705
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2001,1.678861391,472
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2002,1.652784815,482
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2003,1.663906363,499
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2004,1.851104729,574
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2005,1.908773865,613
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2006,1.841649005,602
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2007,1.907526698,635
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2008,1.934516015,678
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2009,1.846909951,659
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2010,2.180179531,805
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2011,2.091816762,787
"Lip,  oral cavity and pharynx ","Korea, Republic of",female,2012,1.985761902,787
"Lip,  oral cavity and pharynx ","UK, England",male,2000,7.297546827,2625
"Lip,  oral cavity and pharynx ","UK, England",male,2001,7.402178111,2685
"Lip,  oral cavity and pharynx ","UK, England",male,2002,7.131158752,2598
"Lip,  oral cavity and pharynx ","UK, England",male,2003,7.769371115,2858
"Lip,  oral cavity and pharynx ","UK, England",male,2004,7.641877956,2853
"Lip,  oral cavity and pharynx ","UK, England",male,2005,7.931525822,2961
"Lip,  oral cavity and pharynx ","UK, England",male,2006,8.687710052,3314
"Lip,  oral cavity and pharynx ","UK, England",male,2007,8.623346728,3288
"Lip,  oral cavity and pharynx ","UK, England",male,2008,9.057127712,3562
"Lip,  oral cavity and pharynx ","UK, England",male,2009,9.564833057,3822
"Lip,  oral cavity and pharynx ","UK, England",male,2010,9.747522556,3941
"Lip,  oral cavity and pharynx ","UK, England",male,2011,9.978803956,4095
"Lip,  oral cavity and pharynx ","UK, England",male,2012,10.51537714,4390
"Lip,  oral cavity and pharynx ","UK, England",female,2000,3.342784826,1482
"Lip,  oral cavity and pharynx ","UK, England",female,2001,3.477950611,1518
"Lip,  oral cavity and pharynx ","UK, England",female,2002,3.1530618,1406
"Lip,  oral cavity and pharynx ","UK, England",female,2003,3.47141061,1538
"Lip,  oral cavity and pharynx ","UK, England",female,2004,3.490246709,1560
"Lip,  oral cavity and pharynx ","UK, England",female,2005,3.616259149,1627
"Lip,  oral cavity and pharynx ","UK, England",female,2006,3.833928995,1751
"Lip,  oral cavity and pharynx ","UK, England",female,2007,3.85621982,1747
"Lip,  oral cavity and pharynx ","UK, England",female,2008,4.231261661,1953
"Lip,  oral cavity and pharynx ","UK, England",female,2009,4.366035269,2008
"Lip,  oral cavity and pharynx ","UK, England",female,2010,4.574041015,2147
"Lip,  oral cavity and pharynx ","UK, England",female,2011,4.481819595,2140
"Lip,  oral cavity and pharynx ","UK, England",female,2012,4.785678696,2287
"Lip,  oral cavity and pharynx ",USA,male,2000,11.48853019,1861
"Lip,  oral cavity and pharynx ",USA,male,2001,10.876649,1812
"Lip,  oral cavity and pharynx ",USA,male,2002,11.50241917,1958
"Lip,  oral cavity and pharynx ",USA,male,2003,11.02029476,1912
"Lip,  oral cavity and pharynx ",USA,male,2004,11.38916923,2003
"Lip,  oral cavity and pharynx ",USA,male,2005,11.10778636,2002
"Lip,  oral cavity and pharynx ",USA,male,2006,11.29862859,2090
"Lip,  oral cavity and pharynx ",USA,male,2007,11.35023184,2133
"Lip,  oral cavity and pharynx ",USA,male,2008,11.46078929,2227
"Lip,  oral cavity and pharynx ",USA,male,2009,11.64180442,2309
"Lip,  oral cavity and pharynx ",USA,male,2010,11.62156773,2364
"Lip,  oral cavity and pharynx ",USA,male,2011,11.74178501,2459
"Lip,  oral cavity and pharynx ",USA,male,2012,11.31287391,2436
"Lip,  oral cavity and pharynx ",USA,female,2000,4.354823569,879
"Lip,  oral cavity and pharynx ",USA,female,2001,4.643723513,978
"Lip,  oral cavity and pharynx ",USA,female,2002,4.70597666,963
"Lip,  oral cavity and pharynx ",USA,female,2003,4.225131672,886
"Lip,  oral cavity and pharynx ",USA,female,2004,4.228081942,913
"Lip,  oral cavity and pharynx ",USA,female,2005,4.47224647,962
"Lip,  oral cavity and pharynx ",USA,female,2006,4.329574805,960
"Lip,  oral cavity and pharynx ",USA,female,2007,4.175364183,961
"Lip,  oral cavity and pharynx ",USA,female,2008,4.342997066,991
"Lip,  oral cavity and pharynx ",USA,female,2009,4.280005879,1004
"Lip,  oral cavity and pharynx ",USA,female,2010,4.188469038,1003
"Lip,  oral cavity and pharynx ",USA,female,2011,4.384603123,1050
"Lip,  oral cavity and pharynx ",USA,female,2012,4.393341641,1115
Lung,France (metropolitan),male,2000,50.23446467,2425
Lung,France (metropolitan),male,2001,49.34343788,2449
Lung,France (metropolitan),male,2002,49.2119069,2480
Lung,France (metropolitan),male,2003,49.47229578,2551
Lung,France (metropolitan),male,2004,51.63804759,2728
Lung,France (metropolitan),male,2005,53.437879,2888
Lung,France (metropolitan),male,2006,51.06187285,2849
Lung,France (metropolitan),male,2007,52.36359147,2996
Lung,France (metropolitan),male,2008,51.55795914,3027
Lung,France (metropolitan),male,2009,52.7931512,3177
Lung,France (metropolitan),male,2010,51.79281344,3182
Lung,France (metropolitan),male,2011,52.64513757,3338
Lung,France (metropolitan),male,2012,52.29329653,3356
Lung,France (metropolitan),female,2000,8.049737096,448
Lung,France (metropolitan),female,2001,9.239596318,525
Lung,France (metropolitan),female,2002,10.09289957,587
Lung,France (metropolitan),female,2003,10.02921615,592
Lung,France (metropolitan),female,2004,12.46373148,749
Lung,France (metropolitan),female,2005,13.30643972,827
Lung,France (metropolitan),female,2006,12.16483912,772
Lung,France (metropolitan),female,2007,13.0128481,868
Lung,France (metropolitan),female,2008,14.87133395,980
Lung,France (metropolitan),female,2009,14.7794563,1013
Lung,France (metropolitan),female,2010,15.94193764,1103
Lung,France (metropolitan),female,2011,17.06400964,1181
Lung,France (metropolitan),female,2012,17.48629502,1246
Lung,Germany,male,2003,51.33938733,2945
Lung,Germany,male,2004,52.72299827,3068
Lung,Germany,male,2005,51.89052968,3127
Lung,Germany,male,2006,51.24422963,3101
Lung,Germany,male,2007,49.92415296,3113
Lung,Germany,male,2008,48.83219986,3048
Lung,Germany,male,2009,46.72340646,3047
Lung,Germany,male,2010,47.52112136,3110
Lung,Germany,male,2011,46.79174859,3114
Lung,Germany,male,2012,45.34049087,3036
Lung,Germany,female,2003,19.96199681,1298
Lung,Germany,female,2004,21.45240465,1455
Lung,Germany,female,2005,21.35365307,1469
Lung,Germany,female,2006,22.62000966,1504
Lung,Germany,female,2007,23.80051309,1608
Lung,Germany,female,2008,23.99612387,1667
Lung,Germany,female,2009,23.8282931,1659
Lung,Germany,female,2010,25.16326739,1737
Lung,Germany,female,2011,24.72785432,1771
Lung,Germany,female,2012,25.41722596,1804
Lung,Japan,male,2000,45.57381796,4569
Lung,Japan,male,2001,46.07302847,4756
Lung,Japan,male,2002,44.76020932,4798
Lung,Japan,male,2003,44.36940891,5113
Lung,Japan,male,2004,44.58989184,5261
Lung,Japan,male,2005,44.00118854,5403
Lung,Japan,male,2006,45.38473991,5713
Lung,Japan,male,2007,46.45098734,6060
Lung,Japan,male,2008,46.54163267,6191
Lung,Japan,male,2009,45.50818624,6213
Lung,Japan,male,2010,47.62058298,6647
Lung,Japan,male,2011,46.59473029,6647
Lung,Japan,male,2012,45.59271172,6653
Lung,Japan,female,2000,15.03005274,1955
Lung,Japan,female,2001,14.15185806,1952
Lung,Japan,female,2002,15.26368091,2120
Lung,Japan,female,2003,14.1342574,2072
Lung,Japan,female,2004,14.21882725,2123
Lung,Japan,female,2005,14.67068542,2247
Lung,Japan,female,2006,15.42664117,2438
Lung,Japan,female,2007,16.17546545,2587
Lung,Japan,female,2008,16.15660146,2616
Lung,Japan,female,2009,17.2636136,2911
Lung,Japan,female,2010,17.44226483,3009
Lung,Japan,female,2011,18.48393695,3198
Lung,Japan,female,2012,17.86028073,3134
Lung,"Korea, Republic of",male,2000,50.03352198,9848
Lung,"Korea, Republic of",male,2001,51.44309331,10562
Lung,"Korea, Republic of",male,2002,51.01523001,10966
Lung,"Korea, Republic of",male,2003,49.9024677,11185
Lung,"Korea, Republic of",male,2004,50.7974854,11974
Lung,"Korea, Republic of",male,2005,50.82145495,12489
Lung,"Korea, Republic of",male,2006,49.13212085,12665
Lung,"Korea, Republic of",male,2007,48.58898447,13149
Lung,"Korea, Republic of",male,2008,47.6579375,13609
Lung,"Korea, Republic of",male,2009,47.52680684,14246
Lung,"Korea, Republic of",male,2010,47.53918091,14967
Lung,"Korea, Republic of",male,2011,46.68190339,15405
Lung,"Korea, Republic of",male,2012,44.68651845,15496
Lung,"Korea, Republic of",female,2000,12.60231095,3612
Lung,"Korea, Republic of",female,2001,12.39519985,3675
Lung,"Korea, Republic of",female,2002,12.65228358,3918
Lung,"Korea, Republic of",female,2003,12.37352952,3992
Lung,"Korea, Republic of",female,2004,13.03160815,4379
Lung,"Korea, Republic of",female,2005,13.47687388,4712
Lung,"Korea, Republic of",female,2006,13.97183258,5026
Lung,"Korea, Republic of",female,2007,13.8883869,5212
Lung,"Korea, Republic of",female,2008,14.21742857,5533
Lung,"Korea, Republic of",female,2009,14.20229187,5799
Lung,"Korea, Republic of",female,2010,14.80344509,6258
Lung,"Korea, Republic of",female,2011,15.36364028,6713
Lung,"Korea, Republic of",female,2012,15.13014132,6838
Lung,"UK, England",male,2000,44.12452293,19169
Lung,"UK, England",male,2001,42.60789618,18808
Lung,"UK, England",male,2002,40.53011548,18086
Lung,"UK, England",male,2003,39.08138432,17791
Lung,"UK, England",male,2004,39.73725686,18327
Lung,"UK, England",male,2005,38.69100243,18137
Lung,"UK, England",male,2006,39.45221305,18802
Lung,"UK, England",male,2007,38.19670585,18652
Lung,"UK, England",male,2008,37.9528595,18911
Lung,"UK, England",male,2009,37.20136222,18871
Lung,"UK, England",male,2010,37.07564708,19191
Lung,"UK, England",male,2011,36.96561332,19570
Lung,"UK, England",male,2012,37.1182965,20071
Lung,"UK, England",female,2000,22.94469473,12148
Lung,"UK, England",female,2001,22.65619973,12230
Lung,"UK, England",female,2002,22.20929179,12102
Lung,"UK, England",female,2003,22.58410572,12538
Lung,"UK, England",female,2004,22.79206982,12570
Lung,"UK, England",female,2005,23.66569781,13158
Lung,"UK, England",female,2006,24.31262774,13785
Lung,"UK, England",female,2007,24.54981646,14118
Lung,"UK, England",female,2008,25.17125943,14709
Lung,"UK, England",female,2009,25.67624802,15057
Lung,"UK, England",female,2010,25.8014185,15403
Lung,"UK, England",female,2011,26.35884929,16030
Lung,"UK, England",female,2012,27.16312495,16804
Lung,USA,male,2000,51.64340922,8841
Lung,USA,male,2001,50.87444803,8906
Lung,USA,male,2002,49.49617276,8903
Lung,USA,male,2003,49.63421092,9168
Lung,USA,male,2004,46.4866253,8744
Lung,USA,male,2005,45.62069574,8856
Lung,USA,male,2006,44.6245032,8836
Lung,USA,male,2007,43.83939046,8946
Lung,USA,male,2008,42.35063676,8928
Lung,USA,male,2009,41.29275435,8975
Lung,USA,male,2010,39.38512291,8822
Lung,USA,male,2011,37.9742271,8711
Lung,USA,male,2012,37.04846216,8807
Lung,USA,female,2000,33.91598017,7164
Lung,USA,female,2001,33.88643351,7326
Lung,USA,female,2002,34.14244444,7531
Lung,USA,female,2003,34.24000449,7721
Lung,USA,female,2004,33.10071999,7665
Lung,USA,female,2005,33.89027982,8037
Lung,USA,female,2006,33.20077166,8096
Lung,USA,female,2007,32.9524271,8241
Lung,USA,female,2008,31.86840922,8117
Lung,USA,female,2009,31.89860697,8357
Lung,USA,female,2010,29.7414533,8120
Lung,USA,female,2011,29.57569376,8142
Lung,USA,female,2012,28.80937005,8225
