Country Name,Year,Sex,Number,Death rate per 100 000 population
Germany,2000,All,38990,47.44023838
Germany,2001,All,38569,46.84127333
Germany,2002,All,39132,47.44290076
Germany,2003,All,39323,47.65258862
Germany,2004,All,39846,48.29743599
Germany,2005,All,40681,49.33162386
Germany,2006,All,40771,49.49990779
Germany,2007,All,41522,50.47491667
Germany,2008,All,42346,51.56614163
Germany,2009,All,42261,51.61663355
Germany,2010,All,43008,52.60436688
Germany,2011,All,43944,53.73492847
Germany,2012,All,44465,54.28032101
France,2000,All,24831,42.16097127
France,2001,All,25085,42.37861029
France,2002,All,25799,43.23015287
France,2003,All,26214,43.57753292
France,2004,All,26860,44.29178017
France,2005,All,27850,45.65879834
France,2006,All,28347,46.01961874
France,2007,All,28641,46.22253994
France,2008,All,28991,46.53089551
France,2009,All,29700,47.43204278
France,2010,All,29653,47.11885625
France,2011,All,30010,47.46581801
France,2012,All,30557,48.10680735
United Kingdom,2000,All,33769,56.5607004
United Kingdom,2001,All,33523,56.76971915
United Kingdom,2002,All,33706,56.81728343
United Kingdom,2003,All,33424,56.12068674
United Kingdom,2004,All,33053,55.23023638
United Kingdom,2005,All,33503,55.61736277
United Kingdom,2006,All,34226,56.49034091
United Kingdom,2007,All,34600,56.74423708
United Kingdom,2008,All,35311,57.52555216
United Kingdom,2009,All,35052,56.72583014
United Kingdom,2010,All,34926,56.09524029
United Kingdom,2011,All,35226,56.07363988
United Kingdom,2012,All,35403,55.57331972
Japan,2000,All,53724,42.76958353
Japan,2001,All,55034,43.70969279
Japan,2002,All,56405,44.76303092
Japan,2003,All,56720,44.96591089
Japan,2004,All,59922,47.49080649
Japan,2005,All,62063,49.17637827
Japan,2006,All,63255,50.14109739
Japan,2007,All,65608,52.03473847
Japan,2008,All,66849,53.07708798
Japan,2009,All,67583,53.71403592
Japan,2010,All,69813,55.23978909
Japan,2011,All,70293,55.70851165
Japan,2012,All,71518,56.77924388
Korea,2000,All,11627,24.46032501
Korea,2001,All,11998,25.06002302
Korea,2002,All,12622,26.22712591
Korea,2003,All,12735,26.36188259
Korea,2004,All,13306,27.44336151
Korea,2005,All,13812,28.37127673
Korea,2006,All,14106,28.85428071
Korea,2007,All,14339,29.18562321
Korea,2008,All,14791,29.93847866
Korea,2009,All,14919,30.04425017
Korea,2010,All,15625,31.32529881
Korea,2011,All,15867,31.66340612
Korea,2012,All,16654,33.07953618
USA,2000,All,155521,55.26257789
USA,2001,All,156058,54.79624502
USA,2002,All,157713,54.69144076
USA,2003,All,158086,54.36043159
USA,2004,All,158091,53.83554937
USA,2005,All,159292,53.74035386
USA,2006,All,158665,52.99459031
USA,2007,All,158762,52.6434297
USA,2008,All,158656,52.27786248
USA,2009,All,158165,51.63600807
USA,2010,All,158329,51.23725583
USA,2011,All,157017,50.39314481
USA,2012,All,157499,50.15190791
Germany,2000,Male,29144,72.64939123
Germany,2001,Male,28564,71.02933603
Germany,2002,Male,28742,71.30164575
Germany,2003,Male,28677,71.07204108
Germany,2004,Male,28820,71.4248699
Germany,2005,Male,28980,71.82336627
Germany,2006,Male,28898,71.67552541
Germany,2007,Male,29143,72.33699374
Germany,2008,Male,29505,73.3251248
Germany,2009,Male,29158,72.65293857
Germany,2010,Male,29381,73.26956239
Germany,2011,Male,29653,73.85006596
Germany,2012,Male,29713,73.77683358
France,2000,Male,20585,71.95821676
France,2001,Male,20643,71.78872477
France,2002,Male,20875,72.00864697
France,2003,Male,20996,71.84052457
France,2004,Male,21398,72.6173616
France,2005,Male,21901,73.89323448
France,2006,Male,22036,73.90644637
France,2007,Male,22144,73.81223845
France,2008,Male,22153,73.43141005
France,2009,Male,22387,73.82852983
France,2010,Male,22234,72.9418292
France,2011,Male,22377,73.05397205
France,2012,Male,22311,72.48452764
United Kingdom,2000,Male,20684,70.33880527
United Kingdom,2001,Male,20441,70.95203638
United Kingdom,2002,Male,20281,70.02049932
United Kingdom,2003,Male,19789,67.98293642
United Kingdom,2004,Male,19512,66.64398749
United Kingdom,2005,Male,19475,66.02358284
United Kingdom,2006,Male,19647,66.16495533
United Kingdom,2007,Male,19700,65.85081408
United Kingdom,2008,Male,19897,65.99044016
United Kingdom,2009,Male,19760,65.05561827
United Kingdom,2010,Male,19447,63.46258136
United Kingdom,2011,Male,19630,63.40848073
United Kingdom,2012,Male,19327,61.7178846
Japan,2000,Male,39053,63.51320066
Japan,2001,Male,39904,64.78447926
Japan,2002,Male,41146,66.80521505
Japan,2003,Male,41634,67.56572541
Japan,2004,Male,43921,71.30379726
Japan,2005,Male,45189,73.33746384
Japan,2006,Male,45941,74.61830821
Japan,2007,Male,47685,77.52271951
Japan,2008,Male,48610,79.13844751
Japan,2009,Male,49035,79.94098371
Japan,2010,Male,50395,81.84763114
Japan,2011,Male,50782,82.63551007
Japan,2012,Male,51372,83.76597965
Korea,2000,Male,8627,36.15178402
Korea,2001,Male,8912,37.08346226
Korea,2002,Male,9265,38.36227971
Korea,2003,Male,9349,38.57617162
Korea,2004,Male,9860,40.54841026
Korea,2005,Male,10147,41.5696098
Korea,2006,Male,10495,42.82516491
Korea,2007,Male,10585,42.98629551
Korea,2008,Male,10899,44.02378262
Korea,2009,Male,10892,43.78443874
Korea,2010,Male,11416,45.70575038
Korea,2011,Male,11503,45.86196259
Korea,2012,Male,12175,48.3374805
USA,2000,Male,90469,65.53181101
USA,2001,Male,90426,64.67633922
USA,2002,Male,90171,63.65267274
USA,2003,Male,89964,62.8954869
USA,2004,Male,89630,62.01163073
USA,2005,Male,90187,61.77202528
USA,2006,Male,89280,60.52382722
USA,2007,Male,88372,59.46487454
USA,2008,Male,88586,59.12477736
USA,2009,Male,87747,58.01668584
USA,2010,Male,87744,57.49523412
USA,2011,Male,86774,56.37466346
USA,2012,Male,86740,55.89285043
Germany,2000,Female,9846,23.40293007
Germany,2001,Female,10005,23.75051237
Germany,2002,Female,10390,24.63727073
Germany,2003,Female,10646,25.24485087
Germany,2004,Female,11026,26.15822194
Germany,2005,Female,11701,27.78321391
Germany,2007,Female,12379,29.49149108
Germany,2008,Female,12841,30.66054895
Germany,2009,Female,13103,31.39082208
Germany,2010,Female,13627,32.71191811
Germany,2011,Female,14291,34.33171577
Germany,2006,Female,11873,28.236775
Germany,2012,Female,14752,35.42476058
France,2000,Female,4246,14.01837239
France,2001,Female,4442,14.59389498
France,2002,Female,4924,16.04500474
France,2003,Female,5218,16.87089432
France,2008,Female,6838,21.27795232
France,2005,Female,5949,18.9717176
France,2010,Female,7419,22.86250064
France,2006,Female,6311,19.85742114
France,2004,Female,5462,17.51959263
France,2007,Female,6497,20.32673514
France,2009,Female,7313,22.64582161
France,2011,Female,7633,23.41865983
France,2012,Female,8246,25.187305
United Kingdom,2000,Female,13085,43.18801696
United Kingdom,2001,Female,13082,43.25880245
United Kingdom,2002,Female,13425,44.22064498
United Kingdom,2003,Female,13635,44.78040458
United Kingdom,2004,Female,13541,44.29812965
United Kingdom,2005,Female,14028,45.63235307
United Kingdom,2006,Female,14579,47.19133697
United Kingdom,2007,Female,14900,47.97282922
United Kingdom,2009,Female,15292,48.67281903
United Kingdom,2010,Female,15479,48.95518676
United Kingdom,2011,Female,15596,48.9471191
United Kingdom,2008,Female,15414,49.3535119
United Kingdom,2012,Female,16076,49.63266701
Japan,2000,Female,14671,22.87888516
Japan,2001,Female,15130,23.52557026
Japan,2002,Female,15259,23.68784638
Japan,2004,Female,16001,24.77740442
Japan,2009,Female,18548,28.76506258
Japan,2005,Female,16874,26.12599695
Japan,2003,Female,15086,23.38189709
Japan,2007,Female,17923,27.75575309
Japan,2008,Female,18239,28.26743952
Japan,2010,Female,19418,29.96142524
Japan,2006,Female,17314,26.8076673
Japan,2011,Female,19511,30.14352589
Japan,2012,Female,20146,31.17128269
Korea,2000,Female,3000,12.67381986
Korea,2001,Female,3086,12.94203867
Korea,2002,Female,3357,14.00242542
Korea,2003,Female,3386,14.06542324
Korea,2004,Female,3446,14.25811011
Korea,2005,Female,3665,15.09884429
Korea,2006,Female,3611,14.81107289
Korea,2007,Female,3754,15.31855557
Korea,2008,Female,3892,15.79060009
Korea,2009,Female,4027,16.25078722
Korea,2010,Female,4209,16.90181703
Korea,2011,Female,4364,17.43529524
Korea,2012,Female,4479,17.80360159
USA,2000,Female,65052,45.37403351
USA,2001,Female,65632,45.26851242
USA,2002,Female,67542,46.03847517
USA,2003,Female,68122,46.09892874
USA,2004,Female,68461,45.9106205
USA,2005,Female,69105,45.944217
USA,2006,Female,69385,45.68218818
USA,2007,Female,70390,46.01622251
USA,2008,Female,70070,45.60152914
USA,2009,Female,70418,45.41246729
USA,2010,Female,70585,45.13091286
USA,2011,Female,70243,44.55338641
USA,2012,Female,70759,44.54339199